complaint_id,issue_id,submission_date,unit_type,space_type,urgency,major_category,minor_category,issue_code
6795493,14172466,10/3/2018,APARTMENT,BEDROOM 2,NON EMERGENCY,PLUMBING,WATER-LEAKS,FROM CEILING / WALL DAMP OR WET
6795493,14172499,12/24/2017,APARTMENT,KITCHEN,NON EMERGENCY,PLUMBING,WATER-LEAKS,FROM CEILING / WALL DAMP OR WET
6798754,14177902,4/7/2017,PUBLIC AREA,LOBBY,NON EMERGENCY,GENERAL,FLOOR,"FLOOR COVERING TORN, DEFECTIVE, MISSING"
6798754,14177903,4/16/2017,PUBLIC AREA,FRONT AREAWAY,NON EMERGENCY,GENERAL,FLOOR,"FLOOR COVERING TORN, DEFECTIVE, MISSING"
6799800,14179769,9/11/2017,APARTMENT,BATHROOM,NON EMERGENCY,PLUMBING,WATER-LEAKS,FROM CEILING / WALL DAMP OR WET
6799800,14179770,1/26/2018,APARTMENT,KITCHEN,NON EMERGENCY,PLUMBING,WATER-LEAKS,FROM CEILING / WALL DAMP OR WET
6799806,14179778,11/24/2018,APARTMENT,BATHROOM,NON EMERGENCY,PLUMBING,WATER-LEAKS,FROM CEILING / WALL DAMP OR WET
6799806,14179779,5/15/2017,APARTMENT,KITCHEN,NON EMERGENCY,PLUMBING,WATER-LEAKS,FROM CEILING / WALL DAMP OR WET
6801966,14184926,5/18/2017,APARTMENT,ENTIRE APARTMENT,NON EMERGENCY,NONCONST,VERMIN,MICE
6805339,14190058,6/17/2017,APARTMENT,ENTIRE APARTMENT,EMERGENCY,NONCONST,CARBON MONOXIDE,DEFECTIVE / MISSING
6805339,14190059,11/9/2018,APARTMENT,BEDROOM,NON EMERGENCY,PLUMBING,WATER-LEAKS,FROM CEILING / WALL DAMP OR WET
6805339,14190061,6/10/2018,APARTMENT,BEDROOM,NON EMERGENCY,PAINT/PLASTER,WALL,CRACKED
6805339,14190064,1/5/2017,APARTMENT,LIVING ROOM,EMERGENCY,GENERAL,MOLD,MOLD
6805339,14190065,11/22/2017,APARTMENT,ENTIRE APARTMENT,NON EMERGENCY,GENERAL,FLOOR,BROKEN OR DEFECTIVE
6805339,14190070,7/8/2017,APARTMENT,ENTIRE APARTMENT,EMERGENCY,GENERAL,WINDOWS,LOOSE/ BROKEN FRAME OR SASH
6805339,14190074,8/5/2018,APARTMENT,ENTIRE APARTMENT,EMERGENCY,PLUMBING,RADIATOR,CRACKED OR LEAKING
6805339,14190079,12/18/2018,APARTMENT,BATHROOM,EMERGENCY,PAINT/PLASTER,WALL,HOLE
6805339,14190090,9/26/2017,APARTMENT,ENTRANCE,EMERGENCY,GENERAL,DOORS,BROKEN/DEFECTIVE/MISSING
6808359,14197076,7/24/2017,APARTMENT,BATHROOM,NON EMERGENCY,PLUMBING,BATHTUB/SHOWER,FAUCET BROKEN/MISSING/LEAKING
6814695,14210578,9/10/2017,APARTMENT,ENTIRE APARTMENT,NON EMERGENCY,ELECTRIC,LIGHTING,DIMS OR FLICKERS
6817228,14215175,7/22/2018,APARTMENT,ENTIRE APARTMENT,NON EMERGENCY,ELECTRIC,WIRING,OUTLETS SEALED OR DEFECTIVE
6817228,14215180,8/13/2018,APARTMENT,BATHROOM,NON EMERGENCY,PLUMBING,WATER SUPPLY,LOW WATER PRESSURE
6817228,14215182,3/18/2018,APARTMENT,ENTIRE APARTMENT,NON EMERGENCY,PAINT/PLASTER,WALL,DIRTY OR UNSANITARY
6817228,14215185,12/12/2018,APARTMENT,BEDROOM,NON EMERGENCY,GENERAL,DOORS,"TO ROOM WITHIN APARTMENT, BROKEN, DEFECTIVE, MISSING"
6817228,14215187,11/23/2018,APARTMENT,BATHROOM,NON EMERGENCY,GENERAL,CABINET,DAMAGED OR MISSING
6819352,14218638,4/29/2018,PUBLIC AREA,ALL PUBLIC AREAS,NON EMERGENCY,NONCONST,RUBBISH,ACCUMULATION
6819352,14218639,3/9/2017,PUBLIC AREA,PUBLIC HALL,NON EMERGENCY,PAINT/PLASTER,WALL,CHIPPED/PEELING/FLAKING
6819352,14218640,10/30/2018,PUBLIC AREA,FRONT AREAWAY,NON EMERGENCY,NONCONST,RUBBISH,ACCUMULATION
6819352,14218645,5/18/2017,PUBLIC AREA,COMPACTOR CLOSET,NON EMERGENCY,NONCONST,RUBBISH,ACCUMULATION
6820712,14220913,11/20/2017,APARTMENT,KITCHEN,NON EMERGENCY,PAINT/PLASTER,WALL,CHIPPED/PEELING/FLAKING
6820712,14220915,10/5/2018,APARTMENT,KITCHEN,NON EMERGENCY,PAINT/PLASTER,WINDOW/FRAME,PEELING OR FLAKING PAINT
6820712,14220917,9/30/2017,APARTMENT,KITCHEN,NON EMERGENCY,PAINT/PLASTER,CEILING,CHIPPED/PEELING/FLAKING
6820712,14220919,8/1/2017,APARTMENT,BATHROOM,NON EMERGENCY,PAINT/PLASTER,WINDOW/FRAME,PEELING OR FLAKING PAINT
6820712,14220921,4/19/2017,APARTMENT,LIVING ROOM,NON EMERGENCY,PAINT/PLASTER,WINDOW/FRAME,PEELING OR FLAKING PAINT
6820712,14220926,7/27/2018,APARTMENT,KITCHEN,NON EMERGENCY,PAINT/PLASTER,RADIATOR,PEELING OR FLAKING PAINT
6820712,14220927,6/26/2018,APARTMENT,BEDROOM,NON EMERGENCY,PAINT/PLASTER,RADIATOR,PEELING OR FLAKING PAINT
6820712,14220928,11/12/2018,APARTMENT,BEDROOM,NON EMERGENCY,GENERAL,FLOOR,"FLOOR COVERING TORN, DEFECTIVE, MISSING"
6823298,14226025,10/4/2017,APARTMENT,KITCHEN,NON EMERGENCY,GENERAL,CABINET,DAMAGED OR MISSING
6823298,14226026,1/16/2017,APARTMENT,KITCHEN,EMERGENCY,PLUMBING,BASIN/SINK,SINK DETACHED FROM WALL
6823298,14226027,9/25/2018,APARTMENT,ENTIRE APARTMENT,NON EMERGENCY,NONCONST,VERMIN,ROACHES
6830268,14239696,3/26/2017,APARTMENT,ENTIRE APARTMENT,NON EMERGENCY,NONCONST,VERMIN,ROACHES
6834403,14248462,8/12/2017,APARTMENT,KITCHEN,NON EMERGENCY,WATER LEAK,SLOW LEAK,AT WALL OR CEILING
6834403,14248463,10/16/2018,APARTMENT,KITCHEN,NON EMERGENCY,FLOORING/STAIRS,FLOOR,BROKEN OR DEFECTIVE
6834431,14248536,4/5/2018,APARTMENT,KITCHEN,NON EMERGENCY,APPLIANCE,REFRIGERATOR,BROKEN DOOR SEAL
6835966,14251470,2/16/2018,APARTMENT,BATHROOM,NON EMERGENCY,PLUMBING,BASIN/SINK,FAUCET BROKEN/MISSING/LEAKING
6835966,14251471,2/8/2017,APARTMENT,BEDROOM,NON EMERGENCY,FLOORING/STAIRS,FLOOR,BROKEN OR DEFECTIVE
6835966,14251472,6/13/2018,APARTMENT,LIVING ROOM,NON EMERGENCY,ELECTRIC,LIGHTING,FIXTURE MISSING/HANGING/LOOSE
6835966,14251473,2/25/2017,APARTMENT,LIVING ROOM,NON EMERGENCY,DOOR/WINDOW,WINDOW FRAME,WINDOW STUCK CLOSED OR OPEN
6835966,14251474,10/14/2017,APARTMENT,KITCHEN,NON EMERGENCY,DOOR/WINDOW,WINDOW FRAME,WINDOW STUCK CLOSED OR OPEN
6835966,14251475,4/16/2018,APARTMENT,BATHROOM,NON EMERGENCY,ELECTRIC,LIGHTING,FIXTURE MISSING/HANGING/LOOSE
6835966,14251476,9/27/2018,APARTMENT,BATHROOM,NON EMERGENCY,PAINT/PLASTER,CEILING,CHIPPED/PEELING/FLAKING
6836277,14252282,5/14/2017,PUBLIC AREA,BUILDING ENTRANCE,NON EMERGENCY,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,MISSING OR INADEQUATE CANS/LID
6843345,14262871,5/27/2017,PUBLIC AREA,OTHER ROOM/AREA,NON EMERGENCY,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,ACCUMULATION
6843345,14262872,6/2/2017,PUBLIC AREA,COURTYARD,NON EMERGENCY,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,MISSING OR INADEQUATE CANS/LID
6843451,14263078,5/4/2018,PUBLIC AREA,HALLWAY,NON EMERGENCY,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,ACCUMULATION
6844505,14265164,11/19/2018,BUILDING,BUILDING-WIDE,NON EMERGENCY,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,MISSING OR INADEQUATE CANS/LID
6846858,14269274,1/14/2018,APARTMENT,ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,MICE
6846858,14269275,3/6/2018,APARTMENT,ENTIRE APARTMENT,NON EMERGENCY,FLOORING/STAIRS,FLOOR,HOLE IN NON-WALKING AREA
6851603,14278442,9/11/2018,BUILDING,BUILDING-WIDE,NON EMERGENCY,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,MISSING OR INADEQUATE CANS/LID
6851641,14278541,1/21/2017,APARTMENT,KITCHEN,EMERGENCY,UNSANITARY CONDITION,MOLD,N/A
6851641,14278542,8/9/2018,APARTMENT,BEDROOM,NON EMERGENCY,ELECTRIC,OUTLET/SWITCH,OUTLET SEALED OR DEFECTIVE
6851641,14278543,9/27/2017,APARTMENT,ENTRANCE/FOYER,NON EMERGENCY,DOOR/WINDOW,DOOR FRAME,FRAME BROKEN
6851641,14278544,3/27/2018,APARTMENT,BEDROOM,NON EMERGENCY,DOOR/WINDOW,DOOR FRAME,FRAME BROKEN
6851641,14278545,2/1/2018,APARTMENT,KITCHEN,NON EMERGENCY,GENERAL,CABINET,DAMAGED OR MISSING
6851641,14278546,5/21/2018,APARTMENT,BEDROOM,EMERGENCY,DOOR/WINDOW,DOOR,BROKEN OR MISSING
6851641,14278547,7/28/2017,APARTMENT,BEDROOM,EMERGENCY,PLUMBING,RADIATOR,BROKEN OR MISSING
6851641,14278548,4/25/2018,APARTMENT,KITCHEN,EMERGENCY,WATER LEAK,HEAVY FLOW,AT WALL OR CEILING
6856198,14287984,10/18/2018,APARTMENT,ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,ROACHES
6856551,14288786,3/9/2017,APARTMENT,PRIVATE HALL,NON EMERGENCY,WATER LEAK,SLOW LEAK,AT WALL OR CEILING
6856551,14288787,2/14/2018,APARTMENT,KITCHEN,NON EMERGENCY,WATER LEAK,SLOW LEAK,AT WALL OR CEILING
6857682,14290742,11/16/2018,PUBLIC AREA,BUILDING ENTRANCE,NON EMERGENCY,GENERAL,BELL/BUZZER/INTERCOM,BROKEN OR MISSING
6858219,14291986,2/4/2017,APARTMENT,KITCHEN,NON EMERGENCY,PAINT/PLASTER,WALL,CHIPPED/PEELING/FLAKING
6858219,14291987,4/16/2017,APARTMENT,ENTIRE APARTMENT,NON EMERGENCY,FLOORING/STAIRS,FLOOR,BROKEN OR DEFECTIVE
6859272,14293917,5/23/2017,APARTMENT,KITCHEN,NON EMERGENCY,APPLIANCE,REFRIGERATOR,BROKEN DOOR SEAL
6859302,14294002,5/25/2018,APARTMENT,ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,ROACHES
6859391,14294305,5/20/2017,APARTMENT,KITCHEN,NON EMERGENCY,APPLIANCE,REFRIGERATOR,BROKEN DOOR SEAL
6864666,14305168,3/18/2017,PUBLIC AREA,HALLWAY,NON EMERGENCY,UNSANITARY CONDITION,PESTS,ROACHES
6864666,14305169,6/19/2017,PUBLIC AREA,OTHER ROOM/AREA,NON EMERGENCY,UNSANITARY CONDITION,PESTS,ROACHES
6866002,14308003,12/21/2017,APARTMENT,OTHER ROOM/AREA,NON EMERGENCY,ELECTRIC,LIGHTING,FIXTURE MISSING/HANGING/LOOSE
6866163,14308327,9/20/2017,PUBLIC AREA,LOBBY,NON EMERGENCY,PAINT/PLASTER,WALL,BULGING/HOLE/CRACKED
6868048,14312269,1/25/2018,APARTMENT,ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,ROACHES
6868048,14312270,8/25/2017,APARTMENT,ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,MICE
6868077,14312346,6/25/2018,APARTMENT,ENTIRE APARTMENT,EMERGENCY,UNSANITARY CONDITION,PESTS,BED BUGS
6868077,14312347,1/4/2017,APARTMENT,ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,MICE
6868077,14312348,2/6/2017,APARTMENT,ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,ROACHES
6869275,14315150,1/29/2018,APARTMENT,LIVING ROOM,NON EMERGENCY,PAINT/PLASTER,WALL,BULGING/HOLE/CRACKED
6869275,14315151,6/19/2018,APARTMENT,ENTIRE APARTMENT,NON EMERGENCY,PAINT/PLASTER,CEILING,DIRTY OR UNSANITARY
6869275,14315152,1/17/2018,APARTMENT,ENTIRE APARTMENT,NON EMERGENCY,PAINT/PLASTER,WALL,DIRTY OR UNSANITARY
6876829,14327718,12/5/2018,APARTMENT,BEDROOM,NON EMERGENCY,WATER LEAK,SLOW LEAK,AT WALL OR CEILING
6876829,14327719,2/1/2018,APARTMENT,BEDROOM,NON EMERGENCY,PAINT/PLASTER,CEILING,CHIPPED/PEELING/FLAKING
6877686,14329321,3/27/2018,PUBLIC AREA,HALLWAY,NON EMERGENCY,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,ACCUMULATION
6879106,14332693,1/20/2017,APARTMENT,ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,MICE
6879106,14332694,12/8/2018,APARTMENT,ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,ROACHES
6879106,14332695,3/25/2018,APARTMENT,ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,OTHER
6880220,14335317,12/16/2017,APARTMENT,ENTRANCE/FOYER,NON EMERGENCY,DOOR/WINDOW,DOOR FRAME,FRAME BROKEN
6880372,14335693,6/2/2018,APARTMENT,ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,TERMITES
6881385,14338288,4/16/2017,APARTMENT,ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,ROACHES
6882225,14340171,7/25/2018,PUBLIC AREA,LOBBY,NON EMERGENCY,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,ACCUMULATION
6882797,14341528,3/17/2017,APARTMENT,BATHROOM,NON EMERGENCY,PAINT/PLASTER,WALL,CHIPPED/PEELING/FLAKING
6882797,14341529,10/10/2017,APARTMENT,BEDROOM,NON EMERGENCY,ELECTRIC,LIGHTING,FIXTURE MISSING/HANGING/LOOSE
6882797,14341530,8/29/2017,APARTMENT,KITCHEN,NON EMERGENCY,PAINT/PLASTER,CEILING,CHIPPED/PEELING/FLAKING
6882797,14341531,3/13/2017,APARTMENT,ENTIRE APARTMENT,NON EMERGENCY,PAINT/PLASTER,CEILING,DIRTY OR UNSANITARY
6882797,14341532,1/6/2018,APARTMENT,KITCHEN,NON EMERGENCY,PAINT/PLASTER,WALL,CHIPPED/PEELING/FLAKING
6882934,14341898,7/29/2017,PUBLIC AREA,BASEMENT,NON EMERGENCY,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,ACCUMULATION
6883055,14342228,1/17/2017,APARTMENT,BATHROOM,NON EMERGENCY,PLUMBING,BATHTUB/SHOWER,FAUCET BROKEN/MISSING/LEAKING
6883116,14342382,1/4/2018,APARTMENT,LIVING ROOM,NON EMERGENCY,WATER LEAK,SLOW LEAK,AT WALL OR CEILING
6883116,14342383,12/18/2017,APARTMENT,LIVING ROOM,NON EMERGENCY,PAINT/PLASTER,CEILING,CHIPPED/PEELING/FLAKING
6883816,14344237,9/29/2017,PUBLIC AREA,HALLWAY,NON EMERGENCY,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,ACCUMULATION
6891845,14361038,5/28/2017,BUILDING,BUILDING-WIDE,NON EMERGENCY,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,MISSING OR INADEQUATE CANS/LID
6891866,14361128,5/11/2018,APARTMENT,BATHROOM,NON EMERGENCY,WATER LEAK,SLOW LEAK,AT WALL OR CEILING
6893335,14364624,8/3/2017,APARTMENT,OTHER ROOM/AREA,NON EMERGENCY,GENERAL,VENTILATION SYSTEM,BROKEN OR MISSING
6898219,14370543,10/16/2017,APARTMENT,KITCHEN,NON EMERGENCY,APPLIANCE,ELECTRIC/GAS RANGE,PILOT LIGHT OUT
6899339,14373152,8/15/2018,APARTMENT,KITCHEN,NON EMERGENCY,APPLIANCE,REFRIGERATOR,BROKEN DOOR SEAL
6900565,14375681,5/2/2018,PUBLIC AREA,HALLWAY,NON EMERGENCY,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,ACCUMULATION
6900565,14375682,6/14/2018,PUBLIC AREA,BASEMENT,NON EMERGENCY,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,ACCUMULATION
6900817,14376314,3/26/2017,APARTMENT,ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,OTHER
6901162,14376866,9/13/2017,APARTMENT,KITCHEN,NON EMERGENCY,APPLIANCE,REFRIGERATOR,BROKEN DOOR SEAL
6902188,14379297,12/29/2017,APARTMENT,ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,OTHER
6902188,14379298,5/8/2018,APARTMENT,KITCHEN,NON EMERGENCY,PAINT/PLASTER,WALL,BULGING/HOLE/CRACKED
6903343,14381802,9/19/2018,APARTMENT,KITCHEN,NON EMERGENCY,APPLIANCE,ELECTRIC/GAS RANGE,PILOT LIGHT OUT
6903554,14382256,9/9/2018,BUILDING,BUILDING-WIDE,NON EMERGENCY,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,MISSING OR INADEQUATE CANS/LID
6903965,14382936,11/8/2017,APARTMENT,BEDROOM,NON EMERGENCY,WATER LEAK,SLOW LEAK,AT WALL OR CEILING
6903965,14382937,9/26/2017,APARTMENT,BATHROOM,NON EMERGENCY,WATER LEAK,SLOW LEAK,AT WALL OR CEILING
6903965,14382938,3/14/2017,APARTMENT,KITCHEN,NON EMERGENCY,WATER LEAK,SLOW LEAK,AT WALL OR CEILING
6904390,14384019,2/6/2017,APARTMENT,BEDROOM,NON EMERGENCY,FLOORING/STAIRS,FLOOR,BROKEN OR DEFECTIVE
6904390,14384020,2/14/2018,APARTMENT,BEDROOM,NON EMERGENCY,DOOR/WINDOW,WINDOW FRAME,WINDOW STUCK CLOSED OR OPEN
6904514,14384315,12/21/2018,APARTMENT,BEDROOM,NON EMERGENCY,WATER LEAK,SLOW LEAK,AT WALL OR CEILING
6904764,14384935,4/15/2018,APARTMENT,ENTIRE APARTMENT,NON EMERGENCY,UNSANITARY CONDITION,PESTS,MICE
6904779,14384954,1/14/2017,PUBLIC AREA,BASEMENT,NON EMERGENCY,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,MISSING OR INADEQUATE CANS/LID
6905438,14386405,2/27/2017,APARTMENT,LIVING ROOM,NON EMERGENCY,WATER LEAK,SLOW LEAK,AT WALL OR CEILING
6905438,14386406,1/30/2018,APARTMENT,BEDROOM,NON EMERGENCY,WATER LEAK,SLOW LEAK,AT WALL OR CEILING
